sexo_jefe,edad_jefe,ingr_trim
1,51,46112.34
1,34,33070.06
2,29,87554.32
2,70,70371.66
2,51,61313.39
1,31,81136.36
1,48,79875.73
1,73,33901.57
1,53,30401.01
2,61,52710.09
1,26,134612.85
1,23,22128.28
1,16,27403.15
2,50,22010.85
2,59,61583.06
1,58,38838.52
1,26,45492.27
1,37,40474.74
1,65,37517.86
1,35,21497.26
1,21,45172.04
1,61,48031.02
1,58,24390.1
2,42,82524.55
1,60,42596.93
1,39,60449.49
2,64,63788.65
1,27,28748.32
1,74,35660.14
1,34,30647.48
2,32,18205.41
1,43,22220.49
1,51,67813.93
1,38,13657.71
1,61,94173.11
1,26,103327.99
1,37,73369.55
2,34,48978.85
1,63,64596.28
2,30,263114.75
2,35,53437.22
2,71,25627.29
2,71,60681.22
1,26,63090.64
1,66,108435.33
1,74,125325.24
1,58,58057.34
2,44,49474.83
1,52,163177.07
1,58,134748.12
2,28,33081.3
1,57,59852.45
1,27,58968.24
1,26,22711.65
1,31,23877.04
2,51,51683.14
1,43,47230.79
1,69,192202.94
1,56,44260.13
1,70,67218.03
2,70,101286.84
2,43,161241.89
1,77,109730.48
1,61,127040.67
1,68,136110.74
1,69,62785.85
1,35,50121.54
1,60,125275.2
1,42,60132.09
2,56,80301.43
2,67,28218.44
2,22,26951.12
1,53,78401.06
1,40,19729.51
1,34,41394.36
1,60,66131.99
1,52,13926.01
2,30,61826.08
1,38,53804.34
1,75,47079.24
2,49,44460.2
1,49,79239.13
1,49,10250.43
2,69,16371.66
2,48,160434.77
2,83,18089.07
1,68,23699.99
1,73,25903.73
1,80,39201.5
1,42,67918.02
1,42,108421.95
1,47,32779.67
2,67,24348.89
1,60,55054.6
2,70,20824.09
1,71,29190.5
2,36,8099.96
1,37,34925.95
1,72,85578.49
2,59,60536.07
1,60,67883.39
2,58,65025.92
1,67,167107.68
1,27,88146.49
1,53,257847.28
1,66,251917.93
1,73,51621.4
1,37,130382.56
1,32,30495.83
2,52,57133.57
2,46,49548.87
1,60,66180.39
1,53,101073.96
1,44,85675.78
1,53,71500.36
1,52,234267.76
1,86,20348.68
1,61,32718.73
2,43,57325.55
1,41,34817.93
1,67,65729.43
1,85,14772.78
1,75,25696.71
1,62,24368.83
2,47,31967.19
1,66,72183.43
1,72,37633.18
2,65,9549.34
1,38,27635.7
2,72,16290.68
2,39,23726.59
2,48,33858.29
1,38,55208.01
1,48,29262.42
2,59,107387.63
2,65,11170.51
1,34,31231.93
1,80,22110.69
1,31,46732.59
2,58,28453.14
1,37,36376.58
1,52,18333.04
1,24,23856.48
2,66,122297.85
2,67,33100.09
2,61,33849.37
2,53,34992.36
2,49,67737.44
1,72,95474.4
1,26,45408.64
1,26,50967.37
1,57,54597.98
1,45,18457.55
1,51,17102.22
1,26,11506.58
1,30,24793.9
1,33,24040.01
1,54,25883.6
1,72,23720.87
1,30,100713.52
1,72,7923.9
1,57,34616.22
2,61,14858.45
2,70,14068.01
1,60,87574.34
1,38,42526.23
1,33,69714.3
2,53,88029.24
1,32,49157.59
1,37,84400.77
2,72,11151.42
1,75,22567.11
1,50,109350.08
2,54,43844.99
1,46,61931.53
2,53,63984.46
1,74,40770.42
2,66,43046.6
2,38,18174.16
1,64,16612.29
1,41,32474.61
1,67,5252.45
2,66,36098.35
1,63,58954.82
2,57,93909.79
1,52,35573.36
2,57,68610.78
1,60,74317.83
1,63,154379.01
1,37,48177.87
2,58,21267.44
1,57,135726.2
1,44,20298.9
2,36,17454.06
1,57,53138.47
2,48,3521.73
1,68,17870.6
1,44,28887.62
1,59,54200.23
1,36,38090.15
2,66,27217.75
2,66,135599.18
1,58,28553.11
1,67,22259.71
2,42,46153.6
2,54,49524.57
1,68,55927.97
1,40,107719.58
1,46,42411.27
1,40,34892.71
2,37,50240.28
1,56,12752.09
1,53,49665.63
1,87,11511.1
1,47,135456.65
1,78,126474.89
1,52,13609.58
1,33,141377.29
1,43,75105.61
1,30,33502.06
1,47,92915.02
1,58,96680.98
1,38,39682.43
2,60,190612.51
1,49,73155.89
1,49,81136.1
2,76,18342.56
1,54,33750.15
2,53,44835.55
1,35,63737.74
1,63,39757.48
1,32,16632.77
1,70,58209.8
1,57,41766.88
1,63,24088.51
1,55,364979.82
1,53,163385.33
1,51,275981.22
1,70,223544.67
1,60,154032.78
2,77,43775.8
1,62,222934.4
1,38,56513.44
2,42,122233.01
1,52,17574.43
2,70,73964.63
2,75,50069.34
2,43,70271.95
1,33,39869.87
1,33,59068.27
1,31,28153.61
2,30,21773.41
1,67,26763.53
1,59,72702.58
1,68,33492.79
2,33,654366.92
1,46,53214.06
1,56,39865.52
1,59,65650.96
2,63,64104.78
1,57,54732.61
1,36,78504.57
2,32,48762.24
1,26,18639.33
1,51,108049.12
1,59,204049.79
1,59,113698.49
2,58,61049.95
2,64,41847.46
1,40,87309.74
2,55,28625.95
1,25,36226.86
1,36,61978.11
1,45,61697.45
2,34,98989.14
1,27,45049.23
2,28,36691.07
2,40,33841.18
1,29,33540.97
1,75,29357.28
1,36,66398.46
1,51,78909.03
1,24,31838.81
2,25,113239.1
1,47,34377.03
1,52,376175.4
1,49,48299.51
1,61,49756.61
1,34,113965.21
1,53,93495.14
1,57,39320.02
1,64,61356.6
1,32,56471.07
1,61,92666.86
2,53,48201.68
1,51,127473.37
2,52,45524.57
1,56,102031.05
2,75,29061.42
2,60,21989.06
1,35,23060.72
1,35,21768.93
1,46,97195.61
1,28,32298.1
1,60,45086.17
1,39,35860.79
2,75,42375.77
2,51,28733.42
2,83,12619.55
1,36,50813.11
1,40,55050.32
1,48,59227.85
1,47,66491.78
1,53,54688.49
1,52,74852.45
1,65,39608.89
2,67,32929.5
2,66,92941.2
2,57,29758.36
2,70,9497.95
1,29,121860.07
1,51,42968.62
1,58,94307.48
1,60,30225.77
1,34,34141.29
1,54,39968.82
1,37,25327.85
1,53,124499.96
1,50,65225.38
1,38,33890.14
1,47,91057.32
1,47,47587.5
1,51,42860.63
